Date,Open,High,Low,Close
Nov/25/1993,"17,119.71","17,410.04","17,003.30","17,222.92"
Nov/26/1993,"17,252.13","17,351.74","16,675.77","16,726.37"
Nov/29/1993,"16,688.57","16,688.57","15,671.97","16,078.71"
Nov/30/1993,"16,113.41","16,505.15","16,004.00","16,406.54"
Dec/01/1993,"16,449.94","17,168.22","16,429.94","17,125.31"
Dec/02/1993,"17,162.52","17,887.29","17,073.81","17,458.75"
Dec/03/1993,"17,408.54","17,468.85","17,177.32","17,459.35"
Dec/06/1993,"17,425.14","17,425.14","16,783.48","16,840.38"
Dec/07/1993,"16,829.98","17,128.81","16,791.28","16,903.49"
Dec/08/1993,"16,889.19","16,892.59","16,216.82","16,507.95"
Dec/09/1993,"16,545.15","17,089.01","16,545.15","17,061.91"
Dec/10/1993,"17,054.11","17,534.85","16,786.68","17,257.43"
Dec/13/1993,"17,246.92","17,563.36","17,123.81","17,327.33"
Dec/14/1993,"17,346.63","17,415.74","17,263.43","17,308.73"
Dec/15/1993,"17,250.33","17,536.15","17,169.52","17,489.15"
Dec/16/1993,"17,514.35","17,911.99","17,514.35","17,789.28"
Dec/17/1993,"17,843.08","18,052.21","17,724.07","18,051.91"
Dec/20/1993,"18,025.80","18,025.80","17,383.44","17,404.24"
Dec/21/1993,"17,418.54","17,484.35","17,158.32","17,315.43"
Dec/22/1993,"17,352.44","17,453.15","17,296.33","17,445.74"
Dec/24/1993,"17,430.04","17,434.54","17,037.10","17,141.11"
Dec/27/1993,"17,081.51","17,081.51","16,633.66","16,819.88"
Dec/28/1993,"16,853.99","17,147.61","16,853.99","17,131.21"
Dec/29/1993,"17,149.91","17,342.13","17,036.30","17,272.03"
Dec/30/1993,"17,309.23","17,417.24","17,309.23","17,417.24"
Jan/04/1994,"17,421.64","17,424.84","17,242.32","17,369.74"
Jan/05/1994,"17,376.54","17,793.18","17,376.54","17,783.48"
Jan/06/1994,"17,865.39","18,027.70","17,792.58","17,881.99"
Jan/07/1994,"17,842.98","18,131.41","17,787.48","18,124.01"
Jan/10/1994,"18,186.52","18,567.06","18,186.52","18,443.44"
Jan/11/1994,"18,481.85","18,671.67","18,373.04","18,485.25"
Jan/12/1994,"18,447.34","18,807.08","18,301.93","18,793.88"
Jan/13/1994,"18,770.38","18,823.38","18,548.75","18,577.26"
Jan/14/1994,"18,623.46","19,043.80","18,473.35","18,973.70"
Jan/17/1994,"18,911.89","18,911.89","18,646.06","18,725.37"
Jan/18/1994,"18,703.67","18,810.28","18,514.55","18,514.55"
Jan/19/1994,"18,516.05","19,118.81","18,515.65","19,039.40"
Jan/20/1994,"19,072.51","19,341.73","19,025.70","19,183.92"
Jan/21/1994,"19,186.72","19,337.93","19,065.81","19,307.43"
Jan/24/1994,"19,294.43","19,294.43","18,320.33","18,353.24"
Jan/25/1994,"18,427.44","18,662.27","18,427.44","18,648.36"
Jan/26/1994,"18,695.67","19,155.52","18,691.47","19,138.21"
Jan/27/1994,"19,130.01","19,324.73","18,811.78","18,891.79"
Jan/28/1994,"18,869.59","18,869.59","18,657.17","18,757.88"
Jan/31/1994,"18,790.78","20,229.12","18,790.78","20,229.12"
Feb/01/1994,"20,256.33","20,509.95","20,237.52","20,416.34"
Feb/02/1994,"20,393.44","20,399.24","20,099.41","20,250.03"
Feb/03/1994,"20,293.03","20,433.04","19,935.19","20,174.82"
Feb/04/1994,"20,151.32","20,301.43","20,034.80","20,301.43"
Feb/07/1994,"20,254.93","20,254.93","20,012.20","20,014.40"
Feb/08/1994,"20,080.51","20,526.45","20,080.51","20,251.23"
Feb/09/1994,"20,236.32","20,236.32","19,650.97","19,841.38"
Feb/10/1994,"19,879.69","20,007.00","19,787.28","19,990.70"
Feb/14/1994,"19,938.99","19,938.99","19,368.24","19,459.25"
Feb/15/1994,"19,406.44","19,406.44","18,768.98","18,974.60"
Feb/16/1994,"19,033.00","19,267.03","19,032.40","19,052.11"
Feb/17/1994,"19,026.50","19,026.50","18,809.98","18,931.39"
Feb/18/1994,"18,993.20","19,078.41","18,873.09","18,959.60"
Feb/21/1994,"18,908.79","19,415.14","18,826.68","19,393.94"
Feb/22/1994,"19,423.14","19,561.56","19,327.13","19,342.63"
Feb/23/1994,"19,401.14","19,466.95","19,323.93","19,341.83"
Feb/24/1994,"19,389.24","19,792.28","19,389.24","19,765.48"
Feb/25/1994,"19,679.67","19,890.89","19,579.16","19,803.38"
Feb/28/1994,"19,848.58","20,117.21","19,848.58","19,997.20"
Mar/01/1994,"20,052.61","20,240.92","20,052.61","20,216.62"
Mar/02/1994,"20,159.02","20,159.02","19,724.27","19,744.77"
Mar/03/1994,"19,759.58","19,771.68","19,531.65","19,605.86"
Mar/04/1994,"19,636.06","20,052.11","19,627.96","19,966.00"
Mar/07/1994,"19,979.10","20,279.13","19,768.68","19,811.88"
Mar/08/1994,"19,826.28","20,090.71","19,826.28","19,898.39"
Mar/09/1994,"19,869.29","19,894.29","19,665.67","19,839.18"
Mar/10/1994,"19,880.59","20,114.41","19,880.59","20,090.71"
Mar/11/1994,"20,109.91","20,256.23","20,017.10","20,115.31"
Mar/14/1994,"20,157.72","20,580.96","20,157.72","20,526.15"
Mar/15/1994,"20,550.86","20,654.17","20,458.85","20,508.85"
Mar/16/1994,"20,518.05","20,781.98","20,518.05","20,677.77"
Mar/17/1994,"20,692.97","20,692.97","20,449.44","20,592.16"
Mar/18/1994,"20,623.66","20,655.67","20,440.14","20,469.45"
Mar/22/1994,"20,458.55","20,458.55","20,202.42","20,253.53"
Mar/23/1994,"20,276.43","20,322.03","19,937.99","19,962.10"
Mar/24/1994,"19,970.20","20,075.81","19,870.09","20,037.90"
Mar/25/1994,"19,973.40","19,973.40","19,771.68","19,836.48"
Mar/28/1994,"19,819.96","20,062.91","19,725.55","19,941.79"
Mar/29/1994,"19,933.99","19,969.19","19,653.03","19,709.74"
Mar/30/1994,"19,640.53","19,640.53","19,288.86","19,559.91"
Mar/31/1994,"19,500.00","19,547.01","19,082.82","19,111.92"
Apr/01/1994,"19,161.63","19,378.08","19,161.63","19,277.16"
Apr/04/1994,"19,232.85","19,232.85","18,896.48","19,122.22"
Apr/05/1994,"19,184.04","19,580.32","19,184.04","19,563.21"
Apr/06/1994,"19,636.33","19,878.28","19,636.33","19,696.74"
Apr/07/1994,"19,676.34","19,946.09","19,587.72","19,890.98"
Apr/08/1994,"19,909.48","19,973.29","19,520.90","19,934.99"
Apr/11/1994,"19,948.89","19,999.30","19,867.47","19,898.08"
Apr/12/1994,"19,884.78","19,884.78","19,647.63","19,648.33"
Apr/13/1994,"19,681.74","20,103.42","19,672.23","20,060.41"
Apr/14/1994,"20,052.01","20,169.13","19,847.97","19,987.20"
Apr/15/1994,"20,050.21","20,282.16","20,050.21","20,164.63"
Apr/18/1994,"20,222.44","20,494.60","20,222.44","20,277.36"
Apr/19/1994,"20,243.25","20,300.66","20,119.42","20,192.34"
Apr/20/1994,"20,203.24","20,222.64","19,850.37","19,882.18"
Apr/21/1994,"19,905.28","19,934.89","19,793.56","19,799.36"
Apr/22/1994,"19,881.28","20,071.51","19,833.27","19,964.39"
Apr/25/1994,"19,921.48","19,921.48","19,628.33","19,709.14"
Apr/26/1994,"19,718.04","19,718.04","19,512.40","19,628.93"
Apr/27/1994,"19,633.63","19,813.86","19,612.82","19,729.15"
Apr/28/1994,"19,724.44","19,762.95","19,644.53","19,725.25"
May/02/1994,"19,648.53","19,648.53","19,488.90","19,570.21"
May/06/1994,"19,620.82","19,907.98","19,620.82","19,862.47"
May/09/1994,"19,820.86","19,820.86","19,721.04","19,786.96"
May/10/1994,"19,764.75","19,962.69","19,753.05","19,917.78"
May/11/1994,"20,001.10","20,219.84","20,001.10","20,150.13"
May/12/1994,"20,139.13","20,260.35","20,118.72","20,224.24"
May/13/1994,"20,251.45","20,360.37","20,221.04","20,270.75"
May/16/1994,"20,318.06","20,397.98","20,174.43","20,188.44"
May/17/1994,"20,158.73","20,174.93","20,067.41","20,133.53"
May/18/1994,"20,191.54","20,285.96","19,965.79","20,152.73"
May/19/1994,"20,130.53","20,302.46","20,034.21","20,221.34"
May/20/1994,"20,255.15","20,438.39","20,255.15","20,342.17"
May/23/1994,"20,385.78","20,574.91","20,328.07","20,568.71"
May/24/1994,"20,539.01","20,748.75","20,501.00","20,622.12"
May/25/1994,"20,633.03","20,700.94","20,509.90","20,663.63"
May/26/1994,"20,632.33","20,689.64","20,489.30","20,495.80"
May/27/1994,"20,518.60","20,824.56","20,510.10","20,777.16"
May/30/1994,"20,835.67","20,932.19","20,817.16","20,838.97"
May/31/1994,"20,857.07","21,048.61","20,857.07","20,973.59"
Jun/01/1994,"20,988.90","21,090.72","20,896.38","21,053.11"
Jun/02/1994,"21,073.71","21,198.74","20,965.69","21,009.00"
Jun/03/1994,"20,933.69","20,954.19","20,802.46","20,954.19"
Jun/06/1994,"20,954.79","20,954.79","20,707.54","20,726.65"
Jun/07/1994,"20,735.05","21,053.71","20,735.05","21,042.71"
Jun/08/1994,"21,002.30","21,273.75","20,930.29","21,261.95"
Jun/09/1994,"21,279.56","21,455.49","21,263.95","21,402.78"
Jun/10/1994,"21,401.48","21,559.81","21,355.37","21,395.18"
Jun/13/1994,"21,378.38","21,573.21","21,271.55","21,552.81"
Jun/14/1994,"21,495.70","21,495.70","21,304.16","21,353.97"
Jun/15/1994,"21,413.48","21,496.60","21,234.65","21,282.96"
Jun/16/1994,"21,275.36","21,389.98","21,273.95","21,367.47"
Jun/17/1994,"21,398.68","21,572.41","21,398.68","21,503.30"
Jun/20/1994,"21,515.60","21,515.60","21,125.63","21,152.03"
Jun/21/1994,"21,076.22","21,076.22","20,759.45","20,813.16"
Jun/22/1994,"20,742.65","20,742.65","20,371.37","20,581.32"
Jun/23/1994,"20,637.43","21,068.01","20,637.43","21,040.21"
Jun/24/1994,"20,998.30","20,998.30","20,755.45","20,766.75"
Jun/27/1994,"20,649.53","20,649.53","20,168.53","20,300.96"
Jun/28/1994,"20,356.27","20,732.55","20,356.27","20,639.23"
Jun/29/1994,"20,599.12","20,599.12","20,420.48","20,481.00"
